Ts,Run,Frame,dID,oID,R11,R12,R13,R21,R22,R23,R31,R32,R33,Tx,Ty,Tz
20.32.47.241,5,51583,object_7,1,0.998846,-0.0370625,-0.0305385,0.0268853,0.958482,-0.283883,0.039792,0.282734,0.958373,-0.28905005008,0.247565925121,0.697051944211
20.33.00.148,5,51686,object_6,2,0.998135,0.0610485,-2.06435e-10,-0.0609782,0.996985,-0.0479781,-0.00292899,0.0478886,0.998848,-0.307818284724,-0.318097217008,0.809296865016
20.33.00.148,5,51686,object_10,2,0.998135,0.0610485,-2.06435e-10,-0.0609782,0.996985,-0.0479781,-0.00292899,0.0478886,0.998848,-0.307818284724,-0.318097217008,0.809296865016
20.33.14.025,5,52567,object_7,1,0.999979,6.1385e-11,0.00654494,0.000485035,0.99725,-0.0741069,-0.00652694,0.0741085,0.997229,-0.0367920068093,0.0362539216876,0.745021048933
20.33.29.046,5,52690,object_6,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.199761927128,-0.03629809618,0.743000030518
20.33.29.046,5,52690,object_7,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.199761927128,-0.03629809618,0.743000030518
20.33.41.168,5,52824,object_7,1,0.921937,0.286269,0.260926,-0.386492,0.724418,0.570826,-0.0256095,-0.627111,0.778508,0.303629130125,0.025288194418,0.91633188352
20.33.55.123,5,52946,object_7,1,0.98562,-0.153903,-0.0697565,0.129068,0.952145,-0.277057,0.109058,0.26407,0.958318,-0.285926043987,-0.154454112053,0.761765940115
20.34.09.194,5,53223,object_6,2,0.977959,-0.207872,0.0196337,0.205563,0.942059,-0.265084,0.0366074,0.263278,0.964025,-0.0615370944142,-0.0996036753058,0.733238725457
20.34.09.194,5,53223,object_7,2,0.977959,-0.207872,0.0196337,0.205563,0.942059,-0.265084,0.0366074,0.263278,0.964025,-0.0615370944142,-0.0996036753058,0.733238725457
20.34.22.223,5,53346,object_6,1,0.999505,0.0174464,0.0261769,-0.0167032,0.999459,-0.0283481,-0.0266573,0.0278968,0.999255,-0.236206829548,-0.0816410332918,1.00094800815
20.34.34.293,5,53500,object_6,1,0.999655,-0.00218091,0.0261769,0.00218166,0.999998,-4.95234e-13,-0.0261769,5.71092e-05,0.999657,0.0195552110672,-0.116779599339,0.765229187906
20.34.46.329,5,53633,object_6,2,0.988287,0.138895,0.063226,-0.141399,0.989261,0.0370056,-0.0574071,-0.0455122,0.997313,-0.221229195595,0.0881561827846,0.728047665209
20.34.46.329,5,53633,object_7,2,0.988287,0.138895,0.063226,-0.141399,0.989261,0.0370056,-0.0574071,-0.0455122,0.997313,-0.221229195595,0.0881561827846,0.728047665209
20.34.59.328,5,53807,object_7,1,0.997942,0.0195971,-0.0610485,-0.0508376,0.822049,-0.567143,0.0390705,0.56908,0.821354,-0.159715933376,-0.0796505361795,0.717144006863
20.35.12.376,5,53920,object_7,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.235633730888,-0.104248568416,0.775800049305
20.35.24.454,5,54115,object_7,1,0.964818,0.238322,0.111035,-0.259085,0.789958,0.555735,0.0447305,-0.564951,0.823911,-0.346815530211,-0.248184537515,0.824057234451
20.35.37.337,5,54209,object_7,1,0.974983,-0.218381,0.0414397,0.221636,0.969285,-0.106606,-0.016886,0.113124,0.993437,-0.107526660548,-0.0369791351259,0.771255910397
20.35.50.251,5,54394,object_7,1,0.998848,-1.69397e-09,-0.0479781,-0.0142275,0.95502,-0.2962,0.0458201,0.296542,0.95392,-0.361400470138,0.0965589713305,0.691028578673
20.36.02.138,5,54528,object_6,1,0.991158,-0.132689,2.182e-09,0.126548,0.945284,-0.300706,0.0399003,0.298047,0.953717,0.0545639079064,0.0673048961908,0.991105563939
20.36.15.125,5,54661,object_6,2,0.997676,0.0675774,-0.00872653,-0.0665785,0.93956,-0.33585,-0.0144968,0.33565,0.941875,-0.192388977855,-0.0117390677333,0.714282006142
20.36.15.125,5,54661,object_7,2,0.997676,0.0675774,-0.00872653,-0.0665785,0.93956,-0.33585,-0.0144968,0.33565,0.941875,-0.192388977855,-0.0117390677333,0.714282006142
20.36.30.088,5,54784,object_6,2,0.990009,0.0670581,0.124034,-0.130398,0.770094,0.624461,-0.0536431,-0.634396,0.771145,-0.257199309766,-0.135125049623,0.968937166035
20.36.30.088,5,54784,object_7,2,0.990009,0.0670581,0.124034,-0.130398,0.770094,0.624461,-0.0536431,-0.634396,0.771145,-0.257199309766,-0.135125049623,0.968937166035
20.36.42.002,5,54928,object_7,1,0.995565,0.0936703,0.00872653,-0.086159,0.945098,-0.315223,-0.0377745,0.313073,0.948978,-0.215940739959,-0.102913737297,0.771052924916
20.36.53.218,5,55053,object_6,2,0.208015,0.901012,0.380667,-0.977516,0.205231,0.0483957,-0.0345195,-0.382175,0.923445,-0.249774038792,-0.321835529059,0.824641061947
20.36.53.218,5,55053,object_7,2,0.208015,0.901012,0.380667,-0.977516,0.205231,0.0483957,-0.0345195,-0.382175,0.923445,-0.249774038792,-0.321835529059,0.824641061947
20.37.09.309,5,55197,object_6,1,0.997277,-0.0697364,0.023996,0.0707796,0.996441,-0.0457857,-0.0207176,0.0473594,0.998663,-0.257701180875,-0.0297507718205,0.761269927025
20.37.21.338,5,55330,object_6,1,0.967226,0.250142,-0.0436194,-0.240691,0.957937,0.156286,0.0808781,-0.140665,0.986748,-0.173533409834,-0.105293363333,1.00039516017
20.37.34.320,5,55473,object_7,1,0.999446,0.0174454,-0.0283578,-0.0250275,0.955373,-0.294339,0.0219574,0.294885,0.95528,-0.286738023162,0.122382604517,0.724192414433
20.37.47.325,5,55596,object_6,2,0.984985,0.16704,0.0436194,-0.163886,0.825254,0.54046,0.0542812,-0.539493,0.840239,-0.0884061306715,-0.282638547942,0.833647347987
20.37.47.325,5,55596,object_7,2,0.984985,0.16704,0.0436194,-0.163886,0.825254,0.54046,0.0542812,-0.539493,0.840239,-0.0884061306715,-0.282638547942,0.833647347987
