Ts,Run,Frame,dID,oID,R11,R12,R13,R21,R22,R23,R31,R32,R33,Tx,Ty,Tz
20.43.48.417,7,30411,object_7,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.278335750103,-0.0641774684191,0.751444518566
20.43.59.010,7,30998,object_6,2,0.987088,0.143121,0.0719327,-0.156466,0.765353,0.624302,0.0342968,-0.627496,0.777864,-0.239556863904,-0.117596115917,0.959960155189
20.43.59.010,7,30998,object_7,2,0.987088,0.143121,0.0719327,-0.156466,0.765353,0.624302,0.0342968,-0.627496,0.777864,-0.239556863904,-0.117596115917,0.959960155189
20.44.12.142,7,31613,object_6,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.130251124501,-0.0758215039968,0.746555566788
20.44.12.142,7,31613,object_7,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.130251124501,-0.0758215039968,0.746555566788
20.44.23.177,7,32196,object_6,1,0.964616,-0.251713,0.0784591,0.263641,0.917532,-0.297704,0.00294723,0.307855,0.951429,-0.0776810143143,0.0699752978981,0.714506356046
20.44.36.404,7,32689,object_6,2,0.983598,0.140425,0.113203,-0.180364,0.771606,0.609994,-0.00169,-0.620407,0.784278,-0.264948122203,-0.115002317354,0.971537657082
20.44.36.404,7,32689,object_7,2,0.983598,0.140425,0.113203,-0.180364,0.771606,0.609994,-0.00169,-0.620407,0.784278,-0.264948122203,-0.115002317354,0.971537657082
20.44.48.458,7,33181,object_7,1,0.947286,0.289614,-0.137012,-0.319237,0.816982,-0.480238,-0.0271471,0.498662,0.866371,-0.19452412799,0.0678216889501,0.712237824715
20.45.02.157,7,34145,object_1,3,0.99471,0.102355,0.00872654,-0.102677,0.988002,0.115366,0.00318643,-0.115652,0.993285,-0.109340837225,-0.1402804479,0.789237432182
20.45.02.157,7,34145,object_6,3,0.99471,0.102355,0.00872654,-0.102677,0.988002,0.115366,0.00318643,-0.115652,0.993285,-0.109340837225,-0.1402804479,0.789237432182
20.45.02.157,7,34145,object_7,3,0.99471,0.102355,0.00872654,-0.102677,0.988002,0.115366,0.00318643,-0.115652,0.993285,-0.109340837225,-0.1402804479,0.789237432182
20.45.16.097,7,34667,object_7,1,0.999141,0.0414397,-3.86294e-10,-0.0412031,0.993437,0.106698,0.00442153,-0.106606,0.994291,-0.120208799839,-0.265532175079,0.808249529451
20.45.28.010,7,35097,object_6,2,0.997222,-0.0697326,-0.0261769,0.072063,0.992137,0.102323,0.0188359,-0.103926,0.994407,-0.294953890145,-0.125648971181,0.79698536545
20.45.28.010,7,35097,object_7,2,0.997222,-0.0697326,-0.0261769,0.072063,0.992137,0.102323,0.0188359,-0.103926,0.994407,-0.294953890145,-0.125648971181,0.79698536545
20.45.41.193,7,35549,object_6,1,0.998963,-0.0130771,-0.0436194,0.0365252,0.802148,0.596007,0.0271951,-0.596982,0.801793,-0.0369344204664,-0.00367942079902,0.911616919562
20.45.53.261,7,36030,object_7,1,0.980783,-0.19509,-0.00218166,0.195046,0.980173,0.0348994,-0.00467012,-0.0346543,0.999388,-0.125032689422,-0.076524131,0.767130520195
20.46.06.476,7,37934,object_6,2,0.962704,0.0715413,-0.260926,-0.0763764,0.997043,-0.00842424,0.259552,0.0280386,0.965322,-0.0321503318846,0.0211774036288,0.740266088396
20.46.06.476,7,37934,object_7,2,0.962704,0.0715413,-0.260926,-0.0763764,0.997043,-0.00842424,0.259552,0.0280386,0.965322,-0.0321503318846,0.0211774036288,0.740266088396
20.46.19.451,7,38793,object_7,1,0.993231,-0.0260087,-0.113203,0.0159634,0.995926,-0.0887547,0.11505,0.0863468,0.9896,-0.320907056332,-0.198479369283,0.764936696738
20.46.33.212,7,40196,object_6,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0274976827204,-0.0956446304917,0.745142936707
20.46.33.212,7,40196,object_7,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0274976827204,-0.0956446304917,0.745142936707
20.46.43.127,7,40820,object_6,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.287727743387,-0.114956997335,0.759833335876
20.46.54.062,7,41374,object_7,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.235408306122,-0.0218183584511,0.735454618931
20.47.05.060,7,41875,object_6,1,0.994249,-0.0848002,0.0654031,0.0984083,0.964357,-0.245626,-0.0422428,0.25065,0.967156,-0.152333902195,-0.170760504901,1.030681476
20.47.17.247,7,42347,object_6,1,0.996382,-0.0849822,1.28855e-10,0.0848657,0.995017,-0.052336,0.00444762,0.0521466,0.99863,-0.160610458814,-0.0909056758974,1.02991728857
20.47.28.472,7,42881,object_6,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.212364584208,-0.0516575202346,0.759600043297
20.47.28.472,7,42881,object_7,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.212364584208,-0.0516575202346,0.759600043297
20.47.40.307,7,43425,object_7,1,0.999674,0.0239951,-0.00872654,-0.0235926,0.99877,0.0436177,0.00976241,-0.0433976,0.99901,-0.118660826236,-0.00519575923681,0.779105801135
20.47.55.161,7,43999,object_6,1,0.982796,0.184369,0.0109081,-0.179458,0.939321,0.292354,0.043655,-0.289282,0.956248,-0.142046801746,-0.14522748813,0.983538214117
20.48.07.057,7,44409,object_7,1,0.997783,0.0566583,-0.0348995,-0.0579458,0.997632,-0.0370572,0.0327173,0.0389973,0.998704,-0.00597299262881,-0.13100842759,0.755873426795
20.48.20.071,7,44838,object_6,2,0.994638,0.0782797,0.06758,-0.0760601,0.996495,-0.0348197,-0.0700688,0.0294929,0.997106,-0.155612062663,0.104076276068,0.731394726783
20.48.20.071,7,44838,object_7,2,0.994638,0.0782797,0.06758,-0.0760601,0.996495,-0.0348197,-0.0700688,0.0294929,0.997106,-0.155612062663,0.104076276068,0.731394726783
20.48.35.049,7,45278,object_7,1,0.958196,0.286106,-0.00218166,-0.278011,0.932833,0.2292,0.0676105,-0.219012,0.973377,-0.104175225832,0.240620847791,0.743215028197
20.48.51.131,7,45852,object_6,2,0.99863,-1.93225e-10,0.052336,0.0020547,0.999229,-0.039206,-0.0522956,0.0392598,0.99786,-0.199551258236,0.0923178941011,0.732585161924
